Pais_traduzido,cod_pais,pib_dolar_2012,pib_dolar_2016,pop_total_2012,pop_total_2016,gastos_edu_pib_perc_2012,gastos_edu_pib_perc_2016
Geórgia,GEO,16894392033.2256,15444548901.9637,3728874.0,3727505.0,1.86033999919891,3.52338004112244
Alemanha,DEU,3597896500945.31,3537784107980.55,80425823.0,82348669.0,4.92844009399414,4.83923006057739
Gana,GHA,41271701060.954,56164929304.8754,26734268.0,29356742.0,7.91913986206055,3.45474433898926
Grécia,GRC,238841140018.233,193097239005.87,11045011.0,10775971.0,4.58220291137695,4.01561069488525
Guatemala,GTM,49593929487.1263,66053403469.0024,15089647.0,16268760.0,3.00524997711182,2.94474005699158
Guiné,GIN,7638044556.84656,8595955222.49719,10921581.0,12073030.0,1.83370995521545,2.54450011253357
Guiana,GUY,4063088535.76331,4482697336.56174,746288.0,763548.0,2.24131989479065,4.73775005340576
Honduras,HND,18528554397.5695,21717604952.1835,8715076.0,9412380.0,6.29972791671753,6.09509515762329
Hungria,HUN,128814279315.132,128609822750.039,9920362.0,9814023.0,4.14249992370605,4.61547994613647
Islândia,ISL,14751508133.5443,20793168030.9524,320716.0,335439.0,7.58223009109497,7.43219995498657
Índia,IND,1827637590410.41,2294796885663.16,1278674502.0,1343944296.0,4.08479833602905,4.256516456604
Indonésia,IDN,917869913364.917,931877364034.196,252698525.0,264627418.0,3.40748000144958,1.21023452281952
Irlanda,IRL,227270922957.327,305733136180.907,4599533.0,4755335.0,5.76235008239746,3.74674010276794
Israel,ISR,262917911696.944,320958936788.842,7910500.0,8546000.0,5.58893013000488,5.79980993270874
Itália,ITA,2097929495121.68,1887111188176.93,59539717.0,60627498.0,4.05601978302002,3.81578993797302
Jamaica,JAM,14807086555.5283,14077096714.1279,2772430.0,2809915.0,6.11246013641357,5.31461000442505
Japão,JPN,6272362996105.03,5003677627544.24,127629000.0,127076000.0,3.41945004463196,3.14643001556396
